Campaign ID,Timestamp,Date,InventoryType,Ad Type,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC
122852,2014-09-08-16,9/8/2014,Format2,Inter221,"27,592,861","14,702,025","14,194,774","28,265","$21,977.09",21%,"$17,361.90",0.20%,$1.55,$0.78
122853,2014-09-07-17,9/7/2014,Format1,Inter217,"5,020,450","2,660,025","2,616,839","6,857","$4,282.47",33%,"$2,869.25",0.26%,$1.64,$0.62
122854,2014-09-07-22,9/7/2014,Format2,Inter222,"17,860,118","10,205,227","9,784,024","16,308","$12,376.09",25%,"$9,282.07",0.17%,$1.26,$0.76
122855,2014-09-08-01,9/8/2014,Format4,Inter229,"285,266","228,664","195,161","30,594","$3,620.20",33%,"$2,425.53",15.68%,$18.55,$0.12
122856,2014-09-07-22,9/7/2014,Format4,inter230,"999,259","557,963","473,859","70,525","$4,863.03",33%,"$3,258.23",14.88%,$10.26,$0.07
122857,2014-09-08-00,9/8/2014,Format5,Inter222,"278,452","165,606","145,167","14,425","$1,575.98",35%,"$1,024.39",9.94%,$10.86,$0.11
122858,2014-09-08-15,9/8/2014,Format3,Inter228,"2,307,115","941,418","873,382","4,967","$1,498.23",35%,$973.85,0.57%,$1.72,$0.30
122859,2014-09-08-13,9/8/2014,Format3,Inter229,"1,100,330","574,447","548,211","2,870","$1,322.16",35%,$859.40,0.52%,$2.41,$0.46
122860,2014-09-08-04,9/8/2014,Format1,Inter218,"361,536","219,028","213,785",513,$413.24,35%,$268.61,0.24%,$1.93,$0.81
122861,2014-09-07-20,9/7/2014,Format1,Inter219,"7,934,003","4,828,301","4,725,654","10,801","$5,182.42",30%,"$3,627.70",0.23%,$1.10,$0.48
122862,2014-09-08-03,9/8/2014,Format2,Inter223,"1,999,186","1,301,554","1,228,496","1,318","$1,907.50",35%,"$1,239.87",0.11%,$1.55,$1.45
122863,2014-09-08-04,9/8/2014,Format2,Inter224,"1,758,114","1,104,022","1,041,443","1,084","$1,685.21",35%,"$1,095.38",0.10%,$1.62,$1.55
122864,2014-09-08-09,9/8/2014,Format1,Inter220,"4,799,780","3,086,536","3,006,857","6,689","$4,780.03",33%,"$3,202.62",0.22%,$1.59,$0.71
122865,2014-09-08-15,9/8/2014,Format1,Inter221,"5,166,528","3,169,942","3,095,684","7,103","$4,156.00",33%,"$2,784.52",0.23%,$1.34,$0.59
122866,2014-09-07-23,9/7/2014,Format2,Inter225,"12,562,231","7,338,186","7,014,939","10,825","$8,760.15",27%,"$6,394.91",0.15%,$1.25,$0.81
122867,2014-09-08-05,9/8/2014,Format1,Inter222,"635,730","358,349","350,495",802,$703.91,35%,$457.54,0.23%,$2.01,$0.88
122868,2014-09-08-12,9/8/2014,Format3,inter230,"2,045,830","903,790","843,522","4,134","$1,587.14",35%,"$1,031.64",0.49%,$1.88,$0.38
122869,2014-09-07-17,9/7/2014,Format1,Inter223,"6,221,592","3,957,769","3,867,403","8,993","$4,572.88",33%,"$3,063.83",0.23%,$1.18,$0.51
122870,2014-09-08-14,9/8/2014,Format1,Inter224,"5,003,299","3,076,886","3,006,134","6,582","$4,045.26",33%,"$2,710.32",0.22%,$1.35,$0.61
122871,2014-09-07-20,9/7/2014,Format1,Inter225,"7,274,417","3,594,072","3,541,584","8,842","$5,161.69",30%,"$3,613.18",0.25%,$1.46,$0.58
122872,2014-09-07-20,9/7/2014,Format4,Inter217,"1,234,325","735,951","623,793","91,026","$6,517.67",30%,"$4,562.37",14.59%,$10.45,$0.07
122873,2014-09-08-10,9/8/2014,Format2,Inter226,"21,362,966","11,888,136","11,499,624","22,277","$21,878.33",21%,"$17,283.88",0.19%,$1.90,$0.98
122874,2014-09-07-18,9/7/2014,Format4,Inter218,"1,099,364","690,485","582,077","83,814","$6,421.36",30%,"$4,494.95",14.40%,$11.03,$0.08
122875,2014-09-08-11,9/8/2014,Format3,Inter217,"1,939,658","883,966","825,904","4,212","$1,633.99",35%,"$1,062.09",0.51%,$1.98,$0.39
122876,2014-09-08-01,9/8/2014,Format2,Inter227,"4,315,196","2,872,434","2,735,354","3,339","$4,347.48",33%,"$2,912.81",0.12%,$1.59,$1.30
122877,2014-09-08-09,9/8/2014,Format2,Inter228,"18,389,539","10,322,261","9,971,257","18,942","$19,841.77",23%,"$15,278.17",0.19%,$1.99,$1.05
122878,2014-09-08-13,9/8/2014,Format2,Inter229,"26,809,686","13,862,435","13,441,890","24,964","$21,654.73",21%,"$17,107.24",0.19%,$1.61,$0.87
122879,2014-09-08-07,9/8/2014,Format1,Inter226,"4,962,761","3,079,841","3,004,903","6,466","$5,214.30",30%,"$3,650.01",0.22%,$1.74,$0.81
122880,2014-09-08-12,9/8/2014,Format1,Inter227,"5,199,999","3,240,600","3,159,879","6,947","$4,295.34",33%,"$2,877.88",0.22%,$1.36,$0.62
122881,2014-09-08-06,9/8/2014,Format3,Inter218,"532,993","282,144","264,823","1,325",$751.54,35%,$488.50,0.50%,$2.84,$0.57
122882,2014-09-07-20,9/7/2014,Format2,inter230,"22,400,355","12,536,388","12,034,272","22,104","$16,996.57",23%,"$13,087.36",0.18%,$1.41,$0.77
122883,2014-09-07-19,9/7/2014,Format4,Inter219,"1,174,011","718,445","606,137","86,845","$6,380.95",30%,"$4,466.66",14.33%,$10.53,$0.07
122884,2014-09-07-21,9/7/2014,Format2,Inter217,"22,052,234","12,323,725","11,828,867","21,015","$15,841.50",23%,"$12,197.95",0.18%,$1.34,$0.75
122885,2014-09-08-05,9/8/2014,Format2,Inter218,"2,173,936","1,351,027","1,280,518","1,503","$2,388.33",35%,"$1,552.42",0.12%,$1.87,$1.59
122886,2014-09-08-08,9/8/2014,Format2,Inter219,"11,733,670","6,819,834","6,572,904","11,908","$13,955.22",25%,"$10,466.41",0.18%,$2.12,$1.17
122887,2014-09-07-19,9/7/2014,Format3,Inter219,"2,762,321","1,236,003","1,173,441","6,404","$1,868.27",35%,"$1,214.37",0.55%,$1.59,$0.29
122888,2014-09-08-07,9/8/2014,Format3,Inter220,"1,907,379","1,015,732","956,458","5,037","$2,343.84",35%,"$1,523.50",0.53%,$2.45,$0.47
122889,2014-09-07-20,9/7/2014,Format3,Inter221,"4,174,064","1,459,223","1,331,051","7,792","$1,682.64",35%,"$1,093.71",0.59%,$1.26,$0.22
122890,2014-09-08-06,9/8/2014,Format1,Inter228,"3,305,530","1,937,659","1,885,638","4,254","$3,099.89",33%,"$2,076.93",0.23%,$1.64,$0.73
122891,2014-09-07-18,9/7/2014,Format2,Inter220,"19,643,247","11,511,703","11,034,150","21,876","$16,730.53",23%,"$12,882.51",0.20%,$1.52,$0.76
122892,2014-09-07-22,9/7/2014,Format1,Inter229,"6,260,100","3,200,821","3,153,802","7,752","$4,053.65",33%,"$2,715.95",0.25%,$1.29,$0.52
122893,2014-09-08-08,9/8/2014,Format4,Inter220,"261,520","210,330","178,925","28,315","$3,664.14",33%,"$2,454.97",15.83%,$20.48,$0.13
122894,2014-09-07-17,9/7/2014,Format6,inter230,"414,121","200,583","172,289","18,253","$1,406.40",35%,$914.16,10.59%,$8.16,$0.08
122895,2014-09-08-14,9/8/2014,Format6,Inter217,"188,807","122,764","105,050","11,219","$1,159.61",35%,$753.75,10.68%,$11.04,$0.10
122896,2014-09-08-15,9/8/2014,Format6,Inter218,"1,299,364","639,771","608,888","3,595","$1,477.62",35%,$960.45,0.59%,$2.43,$0.41
122897,2014-09-08-00,9/8/2014,Format6,Inter219,"1,827,144","784,198","729,818","2,987","$1,136.17",35%,$738.51,0.41%,$1.56,$0.38
122898,2014-09-08-10,9/8/2014,Format1,inter230,"2,465,723","1,494,942","1,468,708","3,700","$2,958.16",35%,"$1,922.80",0.25%,$2.01,$0.80
122899,2014-09-08-15,9/8/2014,Format2,Inter221,"25,832,132","13,479,977","13,052,128","25,474","$21,507.45",21%,"$16,990.89",0.20%,$1.65,$0.84
122900,2014-09-08-11,9/8/2014,Format2,Inter222,"23,665,689","12,859,151","12,437,461","24,380","$22,191.96",21%,"$17,531.64",0.20%,$1.78,$0.91
122901,2014-09-08-10,9/8/2014,Format3,Inter222,"1,001,797","532,475","506,393","2,934","$1,380.98",35%,$897.64,0.58%,$2.73,$0.47
122902,2014-09-08-04,9/8/2014,Format1,Inter217,"799,569","525,210","506,167","1,262",$869.41,35%,$565.12,0.25%,$1.72,$0.69
122903,2014-09-07-17,9/7/2014,Format4,Inter221,"1,063,726","722,727","613,812","85,311","$6,992.49",30%,"$4,894.74",13.90%,$11.39,$0.08
122904,2014-09-08-07,9/8/2014,Format5,Inter223,"174,902","110,980","99,056","14,264","$1,382.37",35%,$898.54,14.40%,$13.96,$0.10
122905,2014-09-07-17,9/7/2014,Format5,Inter224,"454,259","220,386","194,662","24,085","$1,608.48",35%,"$1,045.51",12.37%,$8.26,$0.07
122906,2014-09-08-07,9/8/2014,Format3,Inter223,"991,571","559,100","532,373","2,978","$1,676.58",35%,"$1,089.78",0.56%,$3.15,$0.56
122907,2014-09-08-07,9/8/2014,Format2,Inter223,"7,239,248","4,436,874","4,256,563","7,242","$9,282.48",27%,"$6,776.21",0.17%,$2.18,$1.28
122908,2014-09-08-00,9/8/2014,Format1,Inter218,"3,371,558","2,279,471","2,222,978","4,838","$3,225.56",33%,"$2,161.13",0.22%,$1.45,$0.67
122909,2014-09-08-01,9/8/2014,Format3,Inter224,"441,234","245,235","233,335",581,$282.77,35%,$183.80,0.25%,$1.21,$0.49
122910,2014-09-08-14,9/8/2014,Format1,Inter219,"2,905,136","1,642,297","1,616,180","4,175","$2,975.93",35%,"$1,934.35",0.26%,$1.84,$0.71
122911,2014-09-07-21,9/7/2014,Format4,Inter222,"1,183,357","688,619","585,008","87,919","$6,240.94",30%,"$4,368.66",15.03%,$10.67,$0.07
122912,2014-09-08-15,9/8/2014,Format5,Inter225,"259,050","151,584","129,661","13,271","$1,309.88",35%,$851.42,10.24%,$10.10,$0.10
122913,2014-09-07-23,9/7/2014,Format4,Inter223,"752,029","392,293","331,450","46,944","$3,126.20",33%,"$2,094.55",14.16%,$9.43,$0.07
122914,2014-09-07-23,9/7/2014,Format3,Inter225,"1,299,835","578,094","545,716","1,911",$548.83,35%,$356.74,0.35%,$1.01,$0.29
122915,2014-09-07-17,9/7/2014,Format3,Inter226,"3,223,510","1,343,917","1,253,655","7,616","$1,938.95",35%,"$1,260.32",0.61%,$1.55,$0.25
122916,2014-09-08-11,9/8/2014,Format3,Inter227,"997,970","520,449","495,153","2,797","$1,325.72",35%,$861.72,0.56%,$2.68,$0.47
122917,2014-09-08-10,9/8/2014,Format1,Inter220,"4,658,861","2,990,279","2,914,323","6,462","$4,393.77",33%,"$2,943.83",0.22%,$1.51,$0.68
122918,2014-09-08-00,9/8/2014,Format1,Inter221,"2,173,479","1,272,893","1,253,615","2,400","$1,934.48",35%,"$1,257.41",0.19%,$1.54,$0.81
122919,2014-09-07-19,9/7/2014,Format5,Inter226,"495,068","197,600","170,713","18,873","$1,267.61",35%,$823.94,11.06%,$7.43,$0.07
122920,2014-09-08-11,9/8/2014,Format5,Inter227,"180,799","116,713","100,091","12,107","$1,327.33",35%,$862.76,12.10%,$13.26,$0.11
122921,2014-09-08-02,9/8/2014,Format3,Inter228,"827,031","368,650","347,549","1,038",$509.00,35%,$330.85,0.30%,$1.46,$0.49
122922,2014-09-08-16,9/8/2014,Format1,Inter222,"3,782,142","2,118,740","2,090,139","5,522","$3,540.71",33%,"$2,372.27",0.26%,$1.69,$0.64
122923,2014-09-08-08,9/8/2014,Format1,Inter223,"2,457,826","1,413,959","1,390,007","3,417","$2,889.40",35%,"$1,878.11",0.25%,$2.08,$0.85
122924,2014-09-07-19,9/7/2014,Format5,Inter228,"551,813","224,535","198,031","26,319","$1,525.37",35%,$991.49,13.29%,$7.70,$0.06
122925,2014-09-08-14,9/8/2014,Format5,Inter229,"151,935","100,881","88,802","12,529","$1,134.80",35%,$737.62,14.11%,$12.78,$0.09
122926,2014-09-08-10,9/8/2014,Format4,Inter224,"493,480","389,457","333,804","57,305","$6,805.37",30%,"$4,763.76",17.17%,$20.39,$0.12
122927,2014-09-07-21,9/7/2014,Format3,Inter229,"4,262,750","1,378,920","1,265,717","6,580","$1,439.98",35%,$935.99,0.52%,$1.14,$0.22
122928,2014-09-07-22,9/7/2014,Format3,inter230,"3,703,796","1,133,180","1,053,287","5,209","$1,174.90",35%,$763.68,0.49%,$1.12,$0.23
122929,2014-09-07-19,9/7/2014,Format1,Inter224,"6,992,688","4,314,515","4,224,704","9,931","$4,909.74",33%,"$3,289.53",0.24%,$1.16,$0.49
122930,2014-09-07-18,9/7/2014,Format1,Inter225,"6,164,095","3,904,977","3,819,305","9,041","$4,633.24",33%,"$3,104.27",0.24%,$1.21,$0.51
122931,2014-09-07-19,9/7/2014,Format4,Inter225,"48,716","19,687","6,497",515,$55.69,35%,$36.20,7.93%,$8.57,$0.11
122932,2014-09-07-23,9/7/2014,Format5,inter230,"491,083","140,141","123,606","13,030",$810.66,35%,$526.93,10.54%,$6.56,$0.06
122933,2014-09-07-18,9/7/2014,Format5,Inter217,"443,170","185,625","160,227","17,926","$1,258.93",35%,$818.30,11.19%,$7.86,$0.07
122934,2014-09-08-12,9/8/2014,Format5,Inter218,"196,831","125,165","107,258","12,315","$1,313.36",35%,$853.69,11.48%,$12.24,$0.11
122935,2014-09-08-07,9/8/2014,Format5,Inter219,"172,430","100,289","87,877","10,712","$1,149.04",35%,$746.87,12.19%,$13.08,$0.11
122936,2014-09-08-15,9/8/2014,Format4,Inter226,"767,769","575,091","495,101","76,332","$7,886.64",27%,"$5,757.25",15.42%,$15.93,$0.10
122937,2014-09-08-08,9/8/2014,Format3,Inter217,"1,059,847","587,913","564,739","3,355","$1,797.03",35%,"$1,168.07",0.59%,$3.18,$0.54
122938,2014-09-07-19,9/7/2014,Format3,Inter218,"3,843,987","1,357,869","1,244,147","8,041","$1,836.80",35%,"$1,193.92",0.65%,$1.48,$0.23
122939,2014-09-08-16,9/8/2014,Format1,Inter226,"5,728,738","3,511,693","3,432,462","7,736","$4,436.52",33%,"$2,972.47",0.23%,$1.29,$0.57
122940,2014-09-08-11,9/8/2014,Format4,Inter227,"554,933","432,432","372,658","64,806","$7,718.96",27%,"$5,634.84",17.39%,$20.71,$0.12
122941,2014-09-08-09,9/8/2014,Format5,Inter220,"155,472","105,532","93,190","14,984","$1,426.21",35%,$927.04,16.08%,$15.30,$0.10
122942,2014-09-08-16,9/8/2014,Format5,Inter221,"424,155","223,215","197,492","24,007","$1,970.32",35%,"$1,280.71",12.16%,$9.98,$0.08
122943,2014-09-08-13,9/8/2014,Format5,Inter222,"200,221","126,926","108,453","12,278","$1,266.02",35%,$822.92,11.32%,$11.67,$0.10
122944,2014-09-08-09,9/8/2014,Format1,Inter227,"2,610,672","1,570,985","1,546,392","3,736","$3,125.13",33%,"$2,093.84",0.24%,$2.02,$0.84
122945,2014-09-08-14,9/8/2014,Format3,Inter219,"2,100,579","884,618","826,852","4,333","$1,475.40",35%,$959.01,0.52%,$1.78,$0.34
122946,2014-09-08-07,9/8/2014,Format1,Inter228,"2,491,239","1,404,639","1,379,765","3,067","$2,796.38",35%,"$1,817.64",0.22%,$2.03,$0.91
122947,2014-09-08-03,9/8/2014,Format6,Inter220,"825,690","567,735","547,154","1,365","$1,040.80",35%,$676.52,0.25%,$1.90,$0.76
122948,2014-09-08-13,9/8/2014,Format6,Inter221,"159,323","104,238","92,121","13,950","$1,270.86",35%,$826.06,15.14%,$13.80,$0.09
122949,2014-09-08-08,9/8/2014,Format6,Inter222,"178,442","112,407","97,501","12,250","$1,373.48",35%,$892.76,12.56%,$14.09,$0.11
122950,2014-09-07-18,9/7/2014,Format6,Inter223,"2,257,223","998,416","944,359","5,570","$1,672.89",35%,"$1,087.38",0.59%,$1.77,$0.30
