Campaign ID,Timestamp,Date,InventoryType,Ad Type,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC
122849,2014-09-08-11,9/8/2014,Format1,Inter228,"4,625,369","2,973,265",2899067,6579,4393.72,33,2943.79,0.23%,$1.52,$0.67
122850,2014-09-07-18,9/7/2014,Format1,Inter229,"5,141,311","2,677,724",2633086,6793,4212.28,33,2822.23,0.26%,$1.60,$0.62
122851,2014-09-07-21,9/7/2014,Format1,inter230,"8,484,258","5,201,605",5093116,11472,5298.97,30,3709.28,0.23%,$1.04,$0.46
122852,2014-09-08-16,9/8/2014,Format2,Inter221,"27,592,861","14,702,025",14194774,28265,21977.09,21,17361.9,0.20%,$1.55,$0.78
122853,2014-09-07-17,9/7/2014,Format1,Inter217,"5,020,450","2,660,025",2616839,6857,4282.47,33,2869.25,0.26%,$1.64,$0.62
122854,2014-09-07-22,9/7/2014,Format2,Inter222,"17,860,118","10,205,227",9784024,16308,12376.09,25,9282.07,0.17%,$1.26,$0.76
122855,2014-09-08-01,9/8/2014,Format4,Inter229,"285,266","228,664",195161,30594,3620.2,33,2425.53,15.68%,$18.55,$0.12
122856,2014-09-07-22,9/7/2014,Format4,inter230,"999,259","557,963",473859,70525,4863.03,33,3258.23,14.88%,$10.26,$0.07
122857,2014-09-08-00,9/8/2014,Format5,Inter222,"278,452","165,606",145167,14425,1575.98,35,1024.39,9.94%,$10.86,$0.11
122858,2014-09-08-15,9/8/2014,Format3,Inter228,"2,307,115","941,418",873382,4967,1498.23,35,973.85,0.57%,$1.72,$0.30
122859,2014-09-08-13,9/8/2014,Format3,Inter229,"1,100,330","574,447",548211,2870,1322.16,35,859.4,0.52%,$2.41,$0.46
122860,2014-09-08-04,9/8/2014,Format1,Inter218,"361,536","219,028",213785,513,413.24,35,268.61,0.24%,$1.93,$0.81
122861,2014-09-07-20,9/7/2014,Format1,Inter219,"7,934,003","4,828,301",4725654,10801,5182.42,30,3627.7,0.23%,$1.10,$0.48
122862,2014-09-08-03,9/8/2014,Format2,Inter223,"1,999,186","1,301,554",1228496,1318,1907.5,35,1239.87,0.11%,$1.55,$1.45
122863,2014-09-08-04,9/8/2014,Format2,Inter224,"1,758,114","1,104,022",1041443,1084,1685.21,35,1095.38,0.10%,$1.62,$1.55
122864,2014-09-08-09,9/8/2014,Format1,Inter220,"4,799,780","3,086,536",3006857,6689,4780.03,33,3202.62,0.22%,$1.59,$0.71
